lote,pulper,fecha,inicio,duracion_min,kg_cargados,kwh,material
L-20260629-P1-01,P1,2026-06-29,06:00,53.0,5846,494.3,periodico
L-20260629-P1-02,P1,2026-06-29,07:01,49.5,6053,516.3,periodico
L-20260629-P1-03,P1,2026-06-29,07:59,44.1,5690,460.7,recorte_mixto
L-20260629-P1-04,P1,2026-06-29,08:50,44.5,6041,502.2,recorte_mixto
L-20260629-P1-05,P1,2026-06-29,09:42,42.3,5761,436.1,archivo_blanco
L-20260629-P1-06,P1,2026-06-29,10:35,42.2,6008,450.6,archivo_blanco
L-20260629-P1-07,P1,2026-06-29,11:27,50.6,5775,505.9,periodico
L-20260629-P1-08,P1,2026-06-29,12:25,40.3,5917,461.3,archivo_blanco
L-20260629-P1-09,P1,2026-06-29,13:15,50.8,5633,485.7,periodico
L-20260629-P1-10,P1,2026-06-29,14:17,49.0,5583,481.4,periodico
L-20260629-P1-11,P1,2026-06-29,15:16,46.6,5514,445.0,archivo_blanco
L-20260629-P1-12,P1,2026-06-29,16:14,49.5,5572,473.8,periodico
L-20260629-P1-13,P1,2026-06-29,17:11,43.8,5698,437.8,archivo_blanco
L-20260629-P1-14,P1,2026-06-29,18:04,48.0,5923,477.9,recorte_mixto
L-20260629-P1-15,P1,2026-06-29,19:02,49.2,5767,482.8,recorte_mixto
L-20260629-P1-16,P1,2026-06-29,20:00,50.0,5597,469.1,periodico
L-20260629-P1-17,P1,2026-06-29,20:56,44.9,5719,437.1,archivo_blanco
L-20260629-P1-18,P1,2026-06-29,21:50,49.0,5885,483.2,recorte_mixto
L-20260629-P1-19,P1,2026-06-29,22:46,51.2,6024,518.0,periodico
L-20260629-P2-01,P2,2026-06-29,06:00,46.5,5886,498.8,recorte_mixto
L-20260629-P2-02,P2,2026-06-29,06:52,44.7,5783,453.0,archivo_blanco
L-20260629-P2-03,P2,2026-06-29,07:43,44.3,5470,433.5,recorte_mixto
L-20260629-P2-04,P2,2026-06-29,08:35,49.5,5725,462.6,recorte_mixto
L-20260629-P2-05,P2,2026-06-29,09:32,50.5,5958,473.8,recorte_mixto
L-20260629-P2-06,P2,2026-06-29,10:32,49.5,5704,481.1,periodico
L-20260629-P2-07,P2,2026-06-29,11:28,50.4,5761,513.9,periodico
L-20260629-P2-08,P2,2026-06-29,12:26,43.9,5782,437.1,archivo_blanco
L-20260629-P2-09,P2,2026-06-29,13:20,42.9,5436,428.7,archivo_blanco
L-20260629-P2-10,P2,2026-06-29,14:09,51.3,5885,514.9,periodico
L-20260629-P2-11,P2,2026-06-29,15:08,52.5,5843,491.1,periodico
L-20260629-P2-12,P2,2026-06-29,16:12,52.6,5245,440.4,periodico
L-20260629-P2-13,P2,2026-06-29,17:10,39.7,6294,505.7,archivo_blanco
L-20260629-P2-14,P2,2026-06-29,17:58,46.0,5506,477.1,recorte_mixto
L-20260629-P2-15,P2,2026-06-29,18:54,45.0,5767,468.3,recorte_mixto
L-20260629-P2-16,P2,2026-06-29,19:46,46.2,5847,478.8,recorte_mixto
