lote,pulper,fecha,inicio,duracion_min,kg_cargados,kwh,material
L-20260528-P1-01,P1,2026-05-28,06:00,47.0,5764,479.1,periodico
L-20260528-P1-02,P1,2026-05-28,06:57,42.8,6022,462.1,recorte_mixto
L-20260528-P1-03,P1,2026-05-28,07:45,39.1,5800,443.5,archivo_blanco
L-20260528-P1-04,P1,2026-05-28,08:35,43.8,5658,453.1,recorte_mixto
L-20260528-P1-05,P1,2026-05-28,09:26,42.7,5965,480.9,periodico
L-20260528-P1-06,P1,2026-05-28,10:20,41.4,5945,479.5,recorte_mixto
L-20260528-P1-07,P1,2026-05-28,11:12,44.8,5672,459.1,periodico
L-20260528-P1-08,P1,2026-05-28,12:04,44.8,5732,446.8,recorte_mixto
L-20260528-P1-09,P1,2026-05-28,13:01,43.4,5773,441.9,recorte_mixto
L-20260528-P1-10,P1,2026-05-28,13:53,48.7,5653,468.2,periodico
L-20260528-P1-11,P1,2026-05-28,14:49,43.4,5755,423.9,archivo_blanco
L-20260528-P1-12,P1,2026-05-28,15:41,40.6,5671,460.2,recorte_mixto
L-20260528-P1-13,P1,2026-05-28,16:29,40.6,6030,446.4,archivo_blanco
L-20260528-P1-14,P1,2026-05-28,17:21,44.0,5890,450.9,recorte_mixto
L-20260528-P1-15,P1,2026-05-28,18:12,44.1,5826,473.4,periodico
L-20260528-P1-16,P1,2026-05-28,19:04,42.8,5849,479.0,periodico
L-20260528-P1-17,P1,2026-05-28,19:58,39.3,5990,468.8,recorte_mixto
L-20260528-P2-01,P2,2026-05-28,06:00,47.9,5605,477.9,periodico
L-20260528-P2-02,P2,2026-05-28,06:57,45.0,5735,485.1,periodico
L-20260528-P2-03,P2,2026-05-28,07:53,42.8,5744,462.1,periodico
L-20260528-P2-04,P2,2026-05-28,08:45,41.5,5736,427.8,archivo_blanco
L-20260528-P2-05,P2,2026-05-28,09:39,46.1,5526,472.0,periodico
L-20260528-P2-06,P2,2026-05-28,10:33,39.9,5910,444.9,archivo_blanco
L-20260528-P2-07,P2,2026-05-28,11:23,41.7,5604,447.7,recorte_mixto
L-20260528-P2-08,P2,2026-05-28,12:14,41.0,5734,442.0,recorte_mixto
L-20260528-P2-09,P2,2026-05-28,13:04,44.6,5642,450.2,recorte_mixto
L-20260528-P2-10,P2,2026-05-28,14:01,41.0,5964,463.0,archivo_blanco
L-20260528-P2-11,P2,2026-05-28,14:53,44.0,5582,449.3,recorte_mixto
L-20260528-P2-12,P2,2026-05-28,15:46,46.3,5825,480.2,periodico
L-20260528-P2-13,P2,2026-05-28,16:39,40.0,5779,449.5,archivo_blanco
L-20260528-P2-14,P2,2026-05-28,17:30,38.3,5672,426.9,archivo_blanco
L-20260528-P2-15,P2,2026-05-28,18:19,44.0,6200,501.2,periodico
L-20260528-P2-16,P2,2026-05-28,19:09,42.8,6013,454.2,archivo_blanco
L-20260528-P2-17,P2,2026-05-28,20:03,46.4,6168,504.1,periodico
L-20260528-P2-18,P2,2026-05-28,21:02,44.6,5659,442.9,recorte_mixto
L-20260528-P2-19,P2,2026-05-28,21:57,43.3,5780,459.6,recorte_mixto
L-20260528-P2-20,P2,2026-05-28,22:49,42.6,5953,426.9,archivo_blanco
