lote,pulper,fecha,inicio,duracion_min,kg_cargados,kwh,material
L-20260723-P1-01,P1,2026-07-23,06:00,49.0,5812,496.1,recorte_mixto
L-20260723-P1-02,P1,2026-07-23,07:00,46.7,6033,492.2,archivo_blanco
L-20260723-P1-03,P1,2026-07-23,07:56,46.2,5536,432.3,archivo_blanco
L-20260723-P1-04,P1,2026-07-23,08:48,48.3,5606,431.3,archivo_blanco
L-20260723-P1-05,P1,2026-07-23,09:49,52.1,5666,481.4,periodico
L-20260723-P1-06,P1,2026-07-23,10:52,44.9,5796,453.8,archivo_blanco
L-20260723-P1-07,P1,2026-07-23,11:47,52.8,5992,534.0,periodico
L-20260723-P1-08,P1,2026-07-23,12:50,55.9,5797,516.2,periodico
L-20260723-P1-09,P1,2026-07-23,13:53,47.7,5644,436.8,archivo_blanco
L-20260723-P1-10,P1,2026-07-23,14:52,47.7,5656,479.3,recorte_mixto
L-20260723-P1-11,P1,2026-07-23,15:52,52.3,5955,509.0,recorte_mixto
L-20260723-P1-12,P1,2026-07-23,16:50,47.7,5920,462.7,archivo_blanco
L-20260723-P1-13,P1,2026-07-23,17:50,47.7,5730,446.7,archivo_blanco
L-20260723-P1-14,P1,2026-07-23,18:49,47.0,5954,487.1,archivo_blanco
L-20260723-P1-15,P1,2026-07-23,19:45,46.3,5842,512.1,recorte_mixto
L-20260723-P1-16,P1,2026-07-23,20:39,47.7,5821,476.6,recorte_mixto
L-20260723-P1-17,P1,2026-07-23,21:36,43.6,5754,452.4,archivo_blanco
L-20260723-P1-18,P1,2026-07-23,22:29,52.6,5468,476.1,periodico
L-20260723-P2-01,P2,2026-07-23,06:00,53.7,5724,499.0,periodico
L-20260723-P2-02,P2,2026-07-23,07:04,44.7,5900,458.0,archivo_blanco
L-20260723-P2-03,P2,2026-07-23,07:58,44.0,5670,447.0,archivo_blanco
L-20260723-P2-04,P2,2026-07-23,08:49,49.6,5919,485.0,recorte_mixto
L-20260723-P2-05,P2,2026-07-23,09:47,43.0,5810,454.0,archivo_blanco
L-20260723-P2-06,P2,2026-07-23,10:42,50.4,5831,466.2,archivo_blanco
L-20260723-P2-07,P2,2026-07-23,11:43,52.5,5793,487.4,recorte_mixto
L-20260723-P2-08,P2,2026-07-23,12:45,51.7,5936,503.0,recorte_mixto
L-20260723-P2-09,P2,2026-07-23,13:43,45.5,5584,445.7,archivo_blanco
L-20260723-P2-10,P2,2026-07-23,14:41,46.2,6120,491.3,archivo_blanco
L-20260723-P2-11,P2,2026-07-23,15:35,44.5,5899,474.0,archivo_blanco
L-20260723-P2-12,P2,2026-07-23,16:31,45.3,5626,443.6,archivo_blanco
L-20260723-P2-13,P2,2026-07-23,17:27,52.4,6026,525.0,periodico
L-20260723-P2-14,P2,2026-07-23,18:29,47.9,5786,463.1,archivo_blanco
L-20260723-P2-15,P2,2026-07-23,19:28,47.4,5715,434.3,archivo_blanco
L-20260723-P2-16,P2,2026-07-23,20:27,43.0,5748,461.2,archivo_blanco
L-20260723-P2-17,P2,2026-07-23,21:16,46.9,6007,501.1,recorte_mixto
L-20260723-P2-18,P2,2026-07-23,22:14,48.5,6234,534.3,recorte_mixto
