lote,pulper,fecha,inicio,duracion_min,kg_cargados,kwh,material
L-20260702-P1-01,P1,2026-07-02,06:00,46.7,5734,442.8,recorte_mixto
L-20260702-P1-02,P1,2026-07-02,06:57,47.2,5880,494.5,recorte_mixto
L-20260702-P1-03,P1,2026-07-02,07:54,43.8,5807,465.8,archivo_blanco
L-20260702-P1-04,P1,2026-07-02,08:45,50.3,5663,476.9,periodico
L-20260702-P1-05,P1,2026-07-02,09:48,51.8,5995,511.9,periodico
L-20260702-P1-06,P1,2026-07-02,10:50,46.4,5721,462.1,recorte_mixto
L-20260702-P1-07,P1,2026-07-02,11:44,50.8,5968,513.2,periodico
L-20260702-P1-08,P1,2026-07-02,12:44,48.7,5666,484.7,periodico
L-20260702-P1-09,P1,2026-07-02,13:41,46.5,5767,475.6,recorte_mixto
L-20260702-P1-10,P1,2026-07-02,14:35,44.1,5983,494.2,recorte_mixto
L-20260702-P1-11,P1,2026-07-02,15:26,48.8,6160,520.2,periodico
L-20260702-P1-12,P1,2026-07-02,16:26,52.1,5653,488.0,periodico
L-20260702-P1-13,P1,2026-07-02,17:24,50.1,5925,508.7,periodico
L-20260702-P1-14,P1,2026-07-02,18:22,47.7,6072,507.5,recorte_mixto
L-20260702-P1-15,P1,2026-07-02,19:20,50.1,5866,528.5,periodico
L-20260702-P1-16,P1,2026-07-02,20:22,45.5,5923,492.4,recorte_mixto
L-20260702-P2-01,P2,2026-07-02,06:00,45.6,5848,450.1,archivo_blanco
L-20260702-P2-02,P2,2026-07-02,06:56,49.5,5714,505.5,periodico
L-20260702-P2-03,P2,2026-07-02,07:53,44.5,5879,461.7,archivo_blanco
L-20260702-P2-04,P2,2026-07-02,08:43,44.5,5771,445.3,archivo_blanco
L-20260702-P2-05,P2,2026-07-02,09:38,48.8,6074,500.9,periodico
L-20260702-P2-06,P2,2026-07-02,10:37,48.5,5610,467.1,recorte_mixto
L-20260702-P2-07,P2,2026-07-02,11:36,42.3,5562,430.2,archivo_blanco
L-20260702-P2-08,P2,2026-07-02,12:30,45.5,5894,451.4,archivo_blanco
L-20260702-P2-09,P2,2026-07-02,13:27,46.3,5751,474.9,recorte_mixto
L-20260702-P2-10,P2,2026-07-02,14:25,50.2,5632,500.1,periodico
L-20260702-P2-11,P2,2026-07-02,15:24,52.7,5655,479.6,periodico
L-20260702-P2-12,P2,2026-07-02,16:25,47.5,5611,462.7,periodico
L-20260702-P2-13,P2,2026-07-02,17:24,46.6,5703,471.9,periodico
L-20260702-P2-14,P2,2026-07-02,18:21,45.1,5930,474.8,archivo_blanco
L-20260702-P2-15,P2,2026-07-02,19:17,43.7,5669,442.0,archivo_blanco
L-20260702-P2-16,P2,2026-07-02,20:13,46.6,5789,478.8,recorte_mixto
L-20260702-P2-17,P2,2026-07-02,21:09,49.6,5793,493.5,periodico
