lote,pulper,fecha,inicio,duracion_min,kg_cargados,kwh,material
L-20260614-P1-01,P1,2026-06-14,06:00,46.0,5492,471.8,periodico
L-20260614-P1-02,P1,2026-06-14,06:53,41.7,5681,425.6,archivo_blanco
L-20260614-P1-03,P1,2026-06-14,07:42,41.1,5930,460.2,archivo_blanco
L-20260614-P1-04,P1,2026-06-14,08:33,47.3,6006,507.2,periodico
L-20260614-P1-05,P1,2026-06-14,09:33,40.1,6063,482.1,archivo_blanco
L-20260614-P1-06,P1,2026-06-14,10:19,46.5,5546,466.8,periodico
L-20260614-P1-07,P1,2026-06-14,11:13,49.0,5865,497.4,periodico
L-20260614-P1-08,P1,2026-06-14,12:13,46.6,5733,482.7,periodico
L-20260614-P1-09,P1,2026-06-14,13:07,46.9,6013,482.2,recorte_mixto
L-20260614-P1-10,P1,2026-06-14,14:01,49.9,5831,475.1,periodico
L-20260614-P1-11,P1,2026-06-14,14:57,44.4,5885,478.2,recorte_mixto
L-20260614-P1-12,P1,2026-06-14,15:49,43.2,5838,481.6,recorte_mixto
L-20260614-P1-13,P1,2026-06-14,16:38,40.2,5736,436.5,archivo_blanco
L-20260614-P1-14,P1,2026-06-14,17:24,39.0,5748,434.0,archivo_blanco
L-20260614-P1-15,P1,2026-06-14,18:15,40.6,5510,417.5,archivo_blanco
L-20260614-P1-16,P1,2026-06-14,19:03,47.7,5775,499.8,periodico
L-20260614-P1-17,P1,2026-06-14,19:59,43.7,5831,434.6,archivo_blanco
L-20260614-P1-18,P1,2026-06-14,20:51,45.5,5638,438.7,recorte_mixto
L-20260614-P1-19,P1,2026-06-14,21:49,43.2,6008,453.9,archivo_blanco
L-20260614-P1-20,P1,2026-06-14,22:42,44.8,5569,445.5,recorte_mixto
L-20260614-P2-01,P2,2026-06-14,06:00,49.8,6089,513.5,periodico
L-20260614-P2-02,P2,2026-06-14,06:58,47.3,6040,511.7,periodico
L-20260614-P2-03,P2,2026-06-14,07:58,42.6,5674,440.2,archivo_blanco
L-20260614-P2-04,P2,2026-06-14,08:52,49.0,5950,484.7,recorte_mixto
L-20260614-P2-05,P2,2026-06-14,09:50,44.1,5957,451.8,archivo_blanco
L-20260614-P2-06,P2,2026-06-14,10:42,45.3,5770,472.9,recorte_mixto
L-20260614-P2-07,P2,2026-06-14,11:40,51.0,5694,473.7,periodico
L-20260614-P2-08,P2,2026-06-14,12:38,44.4,5852,445.2,archivo_blanco
L-20260614-P2-09,P2,2026-06-14,13:28,43.6,6131,499.5,recorte_mixto
L-20260614-P2-10,P2,2026-06-14,14:24,42.7,5896,469.6,recorte_mixto
L-20260614-P2-11,P2,2026-06-14,15:16,43.2,5762,449.2,archivo_blanco
L-20260614-P2-12,P2,2026-06-14,16:11,48.5,5845,467.9,recorte_mixto
L-20260614-P2-13,P2,2026-06-14,17:05,44.1,5456,422.8,archivo_blanco
L-20260614-P2-14,P2,2026-06-14,17:57,46.4,5635,469.4,periodico
L-20260614-P2-15,P2,2026-06-14,18:54,45.0,5663,428.9,archivo_blanco
L-20260614-P2-16,P2,2026-06-14,19:49,44.4,5911,459.5,archivo_blanco
L-20260614-P2-17,P2,2026-06-14,20:43,42.1,5984,464.7,archivo_blanco
