lote,pulper,fecha,inicio,duracion_min,kg_cargados,kwh,material
L-20260703-P1-01,P1,2026-07-03,06:00,44.1,5647,441.5,archivo_blanco
L-20260703-P1-02,P1,2026-07-03,06:51,45.6,5640,478.1,recorte_mixto
L-20260703-P1-03,P1,2026-07-03,07:45,44.5,5854,465.2,archivo_blanco
L-20260703-P1-04,P1,2026-07-03,08:42,53.0,5471,485.9,periodico
L-20260703-P1-05,P1,2026-07-03,09:46,44.8,5867,474.4,recorte_mixto
L-20260703-P1-06,P1,2026-07-03,10:40,49.9,6003,505.0,periodico
L-20260703-P1-07,P1,2026-07-03,11:38,48.0,5847,499.7,periodico
L-20260703-P1-08,P1,2026-07-03,12:36,47.1,5702,484.7,recorte_mixto
L-20260703-P1-09,P1,2026-07-03,13:31,50.4,5774,480.3,recorte_mixto
L-20260703-P1-10,P1,2026-07-03,14:30,47.3,5751,479.4,recorte_mixto
L-20260703-P1-11,P1,2026-07-03,15:29,44.9,5550,433.0,archivo_blanco
L-20260703-P1-12,P1,2026-07-03,16:26,47.7,5782,462.9,recorte_mixto
L-20260703-P1-13,P1,2026-07-03,17:22,43.2,5855,478.0,recorte_mixto
L-20260703-P1-14,P1,2026-07-03,18:14,51.1,5793,495.6,periodico
L-20260703-P1-15,P1,2026-07-03,19:13,50.3,5880,498.8,periodico
L-20260703-P1-16,P1,2026-07-03,20:13,42.1,5548,430.3,archivo_blanco
L-20260703-P2-01,P2,2026-07-03,06:00,44.5,5631,431.2,archivo_blanco
L-20260703-P2-02,P2,2026-07-03,06:51,49.1,5760,485.3,periodico
L-20260703-P2-03,P2,2026-07-03,07:50,49.0,5777,471.3,recorte_mixto
L-20260703-P2-04,P2,2026-07-03,08:49,49.8,5910,524.2,periodico
L-20260703-P2-05,P2,2026-07-03,09:49,42.6,5641,451.0,archivo_blanco
L-20260703-P2-06,P2,2026-07-03,10:40,43.6,6065,461.0,archivo_blanco
L-20260703-P2-07,P2,2026-07-03,11:35,51.6,5573,485.5,periodico
L-20260703-P2-08,P2,2026-07-03,12:33,50.9,5947,505.2,recorte_mixto
L-20260703-P2-09,P2,2026-07-03,13:35,46.5,5793,474.2,recorte_mixto
L-20260703-P2-10,P2,2026-07-03,14:33,51.3,5925,514.9,periodico
L-20260703-P2-11,P2,2026-07-03,15:36,45.0,5540,434.2,archivo_blanco
L-20260703-P2-12,P2,2026-07-03,16:33,49.3,5502,478.9,periodico
L-20260703-P2-13,P2,2026-07-03,17:30,56.3,5949,495.9,periodico
L-20260703-P2-14,P2,2026-07-03,18:35,51.4,5834,487.5,periodico
L-20260703-P2-15,P2,2026-07-03,19:35,49.0,5914,527.4,periodico
L-20260703-P2-16,P2,2026-07-03,20:30,51.3,5460,486.5,periodico
L-20260703-P2-17,P2,2026-07-03,21:29,42.6,5596,461.9,periodico
