lote,pulper,fecha,inicio,duracion_min,kg_cargados,kwh,material
L-20260616-P1-01,P1,2026-06-16,06:00,47.4,5630,467.0,periodico
L-20260616-P1-02,P1,2026-06-16,06:57,46.9,5800,483.9,periodico
L-20260616-P1-03,P1,2026-06-16,07:52,48.1,5839,500.0,periodico
L-20260616-P1-04,P1,2026-06-16,08:50,44.4,5950,491.8,periodico
L-20260616-P1-05,P1,2026-06-16,09:41,50.5,5669,470.7,periodico
L-20260616-P1-06,P1,2026-06-16,10:42,48.7,5674,469.5,periodico
L-20260616-P1-07,P1,2026-06-16,11:40,47.0,5623,465.5,periodico
L-20260616-P1-08,P1,2026-06-16,12:37,46.7,5984,491.0,recorte_mixto
L-20260616-P1-09,P1,2026-06-16,13:33,42.3,5843,439.6,archivo_blanco
L-20260616-P1-10,P1,2026-06-16,14:24,49.7,5855,491.9,periodico
L-20260616-P1-11,P1,2026-06-16,15:25,47.3,5598,470.3,periodico
L-20260616-P1-12,P1,2026-06-16,16:25,47.7,5676,478.2,periodico
L-20260616-P1-13,P1,2026-06-16,17:19,48.3,6082,510.9,periodico
L-20260616-P1-14,P1,2026-06-16,18:18,43.2,5730,436.5,archivo_blanco
L-20260616-P1-15,P1,2026-06-16,19:07,41.8,6114,461.8,archivo_blanco
L-20260616-P1-16,P1,2026-06-16,19:56,42.2,6057,512.4,periodico
L-20260616-P1-17,P1,2026-06-16,20:49,46.7,5632,458.8,recorte_mixto
L-20260616-P1-18,P1,2026-06-16,21:44,42.9,5940,434.7,archivo_blanco
L-20260616-P1-19,P1,2026-06-16,22:37,47.6,5870,511.7,periodico
L-20260616-P1-20,P1,2026-06-16,23:36,42.6,5949,460.4,archivo_blanco
L-20260616-P2-01,P2,2026-06-16,06:00,50.1,5858,485.7,periodico
L-20260616-P2-02,P2,2026-06-16,06:58,43.2,5583,425.5,archivo_blanco
L-20260616-P2-03,P2,2026-06-16,07:53,45.5,6012,503.0,recorte_mixto
L-20260616-P2-04,P2,2026-06-16,08:44,43.4,6069,444.3,archivo_blanco
L-20260616-P2-05,P2,2026-06-16,09:35,42.3,5901,448.2,archivo_blanco
L-20260616-P2-06,P2,2026-06-16,10:25,42.7,5602,426.8,archivo_blanco
L-20260616-P2-07,P2,2026-06-16,11:16,50.5,5577,452.8,periodico
L-20260616-P2-08,P2,2026-06-16,12:18,48.2,5691,466.5,periodico
L-20260616-P2-09,P2,2026-06-16,13:17,47.8,6064,492.3,recorte_mixto
L-20260616-P2-10,P2,2026-06-16,14:12,45.7,5914,484.1,recorte_mixto
L-20260616-P2-11,P2,2026-06-16,15:05,49.3,5498,486.8,periodico
L-20260616-P2-12,P2,2026-06-16,16:03,44.3,5605,440.8,archivo_blanco
L-20260616-P2-13,P2,2026-06-16,16:57,47.3,5720,483.1,periodico
L-20260616-P2-14,P2,2026-06-16,17:54,47.5,5733,481.9,periodico
L-20260616-P2-15,P2,2026-06-16,18:51,48.5,5671,479.7,periodico
L-20260616-P2-16,P2,2026-06-16,19:52,44.6,5651,433.3,archivo_blanco
