lote,pulper,fecha,inicio,duracion_min,kg_cargados,kwh,material
L-20260707-P1-01,P1,2026-07-07,06:00,49.8,5686,477.8,periodico
L-20260707-P1-02,P1,2026-07-07,06:58,48.7,5700,481.7,recorte_mixto
L-20260707-P1-03,P1,2026-07-07,07:53,48.4,5779,489.1,recorte_mixto
L-20260707-P1-04,P1,2026-07-07,08:51,48.9,5723,498.0,periodico
L-20260707-P1-05,P1,2026-07-07,09:49,47.7,5825,461.1,archivo_blanco
L-20260707-P1-06,P1,2026-07-07,10:48,48.8,5795,481.5,recorte_mixto
L-20260707-P1-07,P1,2026-07-07,11:49,51.8,5882,510.2,periodico
L-20260707-P1-08,P1,2026-07-07,12:47,46.1,5775,505.7,periodico
L-20260707-P1-09,P1,2026-07-07,13:44,48.7,5813,489.7,periodico
L-20260707-P1-10,P1,2026-07-07,14:43,47.9,5789,467.2,recorte_mixto
L-20260707-P1-11,P1,2026-07-07,15:41,46.9,5888,473.2,archivo_blanco
L-20260707-P1-12,P1,2026-07-07,16:40,47.7,5890,497.5,periodico
L-20260707-P1-13,P1,2026-07-07,17:40,50.2,5982,502.5,periodico
L-20260707-P1-14,P1,2026-07-07,18:36,49.3,5961,495.5,recorte_mixto
L-20260707-P1-15,P1,2026-07-07,19:34,48.1,5695,484.2,periodico
L-20260707-P1-16,P1,2026-07-07,20:31,46.1,5769,432.7,archivo_blanco
L-20260707-P1-17,P1,2026-07-07,21:29,43.2,5733,457.7,archivo_blanco
L-20260707-P1-18,P1,2026-07-07,22:21,43.5,5865,468.1,archivo_blanco
L-20260707-P1-19,P1,2026-07-07,23:12,45.2,5645,451.8,archivo_blanco
L-20260707-P2-01,P2,2026-07-07,06:00,49.0,5760,495.7,periodico
L-20260707-P2-02,P2,2026-07-07,06:56,51.3,5893,501.7,periodico
L-20260707-P2-03,P2,2026-07-07,07:59,44.0,5829,449.2,archivo_blanco
L-20260707-P2-04,P2,2026-07-07,08:51,52.1,6005,515.1,periodico
L-20260707-P2-05,P2,2026-07-07,09:52,50.2,5627,490.4,periodico
L-20260707-P2-06,P2,2026-07-07,10:54,45.5,5903,465.8,archivo_blanco
L-20260707-P2-07,P2,2026-07-07,11:50,42.2,5902,454.6,archivo_blanco
L-20260707-P2-08,P2,2026-07-07,12:38,45.6,5617,449.7,recorte_mixto
L-20260707-P2-09,P2,2026-07-07,13:32,47.1,6251,518.9,recorte_mixto
L-20260707-P2-10,P2,2026-07-07,14:31,50.6,5782,473.4,recorte_mixto
L-20260707-P2-11,P2,2026-07-07,15:33,46.3,5482,438.4,archivo_blanco
L-20260707-P2-12,P2,2026-07-07,16:31,50.8,5773,495.8,periodico
L-20260707-P2-13,P2,2026-07-07,17:30,48.1,6250,509.8,recorte_mixto
L-20260707-P2-14,P2,2026-07-07,18:29,49.7,5727,472.2,recorte_mixto
L-20260707-P2-15,P2,2026-07-07,19:27,48.7,5718,493.8,periodico
L-20260707-P2-16,P2,2026-07-07,20:26,48.4,5922,509.1,periodico
L-20260707-P2-17,P2,2026-07-07,21:24,47.8,5681,461.5,recorte_mixto
L-20260707-P2-18,P2,2026-07-07,22:18,49.9,5682,472.8,recorte_mixto
