lote,pulper,fecha,inicio,duracion_min,kg_cargados,kwh,material
L-20260719-P1-01,P1,2026-07-19,06:00,46.9,5881,483.2,recorte_mixto
L-20260719-P1-02,P1,2026-07-19,06:53,48.9,5732,464.8,archivo_blanco
L-20260719-P1-03,P1,2026-07-19,07:50,53.0,5683,511.1,periodico
L-20260719-P1-04,P1,2026-07-19,08:50,51.0,5615,465.8,recorte_mixto
L-20260719-P1-05,P1,2026-07-19,09:49,54.7,5735,496.0,periodico
L-20260719-P1-06,P1,2026-07-19,10:51,46.3,6005,484.0,archivo_blanco
L-20260719-P1-07,P1,2026-07-19,11:46,50.3,5821,473.1,recorte_mixto
L-20260719-P1-08,P1,2026-07-19,12:47,48.1,5589,458.7,recorte_mixto
L-20260719-P1-09,P1,2026-07-19,13:47,51.2,5799,496.0,periodico
L-20260719-P1-10,P1,2026-07-19,14:47,47.5,5949,469.2,archivo_blanco
L-20260719-P1-11,P1,2026-07-19,15:43,49.1,5839,449.1,archivo_blanco
L-20260719-P1-12,P1,2026-07-19,16:43,50.5,6232,520.2,recorte_mixto
L-20260719-P1-13,P1,2026-07-19,17:45,47.7,5964,516.3,periodico
L-20260719-P1-14,P1,2026-07-19,18:42,47.0,5829,441.3,archivo_blanco
L-20260719-P1-15,P1,2026-07-19,19:40,46.9,6146,476.0,archivo_blanco
L-20260719-P1-16,P1,2026-07-19,20:34,44.3,5717,460.9,archivo_blanco
L-20260719-P1-17,P1,2026-07-19,21:27,49.5,5502,443.6,archivo_blanco
L-20260719-P1-18,P1,2026-07-19,22:25,48.0,5986,492.7,recorte_mixto
L-20260719-P1-19,P1,2026-07-19,23:20,57.3,5729,515.3,periodico
L-20260719-P2-01,P2,2026-07-19,06:00,48.1,5757,484.2,recorte_mixto
L-20260719-P2-02,P2,2026-07-19,06:59,49.1,5683,450.4,archivo_blanco
L-20260719-P2-03,P2,2026-07-19,07:59,43.9,5756,438.5,archivo_blanco
L-20260719-P2-04,P2,2026-07-19,08:51,50.6,5734,500.6,periodico
L-20260719-P2-05,P2,2026-07-19,09:49,52.6,5975,511.4,periodico
L-20260719-P2-06,P2,2026-07-19,10:51,52.1,5778,472.3,recorte_mixto
L-20260719-P2-07,P2,2026-07-19,11:51,52.2,5673,474.0,recorte_mixto
L-20260719-P2-08,P2,2026-07-19,12:54,53.0,5891,505.2,periodico
L-20260719-P2-09,P2,2026-07-19,13:53,52.5,5537,492.6,periodico
L-20260719-P2-10,P2,2026-07-19,14:54,44.0,5961,470.9,archivo_blanco
L-20260719-P2-11,P2,2026-07-19,15:50,52.7,5949,520.1,periodico
L-20260719-P2-12,P2,2026-07-19,16:51,48.9,5869,470.3,archivo_blanco
L-20260719-P2-13,P2,2026-07-19,17:46,50.6,5666,475.7,recorte_mixto
L-20260719-P2-14,P2,2026-07-19,18:43,51.3,5699,487.1,periodico
L-20260719-P2-15,P2,2026-07-19,19:41,55.0,5657,470.4,periodico
L-20260719-P2-16,P2,2026-07-19,20:45,50.7,6018,511.1,periodico
L-20260719-P2-17,P2,2026-07-19,21:43,53.4,5716,505.4,periodico
L-20260719-P2-18,P2,2026-07-19,22:46,51.0,5689,494.4,periodico
L-20260719-P2-19,P2,2026-07-19,23:44,50.4,5793,507.3,periodico
