lote,pulper,fecha,inicio,duracion_min,kg_cargados,kwh,material
L-20260710-P1-01,P1,2026-07-10,06:00,51.6,5944,513.9,periodico
L-20260710-P1-02,P1,2026-07-10,06:58,48.4,5859,474.1,recorte_mixto
L-20260710-P1-03,P1,2026-07-10,07:57,45.6,5803,481.3,recorte_mixto
L-20260710-P1-04,P1,2026-07-10,08:50,47.3,5708,474.6,recorte_mixto
L-20260710-P1-05,P1,2026-07-10,09:44,44.9,5592,436.6,archivo_blanco
L-20260710-P1-06,P1,2026-07-10,10:36,42.7,5978,464.5,archivo_blanco
L-20260710-P1-07,P1,2026-07-10,11:26,53.1,5690,484.8,periodico
L-20260710-P1-08,P1,2026-07-10,12:29,45.5,5637,458.0,archivo_blanco
L-20260710-P1-09,P1,2026-07-10,13:27,48.8,5819,492.6,recorte_mixto
L-20260710-P1-10,P1,2026-07-10,14:24,47.1,5823,456.7,archivo_blanco
L-20260710-P1-11,P1,2026-07-10,15:24,49.1,5841,491.1,periodico
L-20260710-P1-12,P1,2026-07-10,16:22,51.4,5821,501.4,periodico
L-20260710-P1-13,P1,2026-07-10,17:19,45.1,5651,452.7,archivo_blanco
L-20260710-P1-14,P1,2026-07-10,18:12,50.8,5853,496.8,periodico
L-20260710-P1-15,P1,2026-07-10,19:15,46.6,5795,457.3,archivo_blanco
L-20260710-P1-16,P1,2026-07-10,20:10,48.1,6270,514.8,recorte_mixto
L-20260710-P1-17,P1,2026-07-10,21:07,52.3,5810,511.3,periodico
L-20260710-P1-18,P1,2026-07-10,22:06,49.0,5890,518.3,periodico
L-20260710-P1-19,P1,2026-07-10,23:03,48.8,5907,476.7,recorte_mixto
L-20260710-P2-01,P2,2026-07-10,06:00,51.8,5906,497.0,periodico
L-20260710-P2-02,P2,2026-07-10,07:01,48.3,5758,440.5,archivo_blanco
L-20260710-P2-03,P2,2026-07-10,07:59,50.8,6010,499.2,periodico
L-20260710-P2-04,P2,2026-07-10,08:58,49.6,5672,480.9,recorte_mixto
L-20260710-P2-05,P2,2026-07-10,10:00,44.3,5735,437.5,archivo_blanco
L-20260710-P2-06,P2,2026-07-10,10:52,47.3,5964,462.6,archivo_blanco
L-20260710-P2-07,P2,2026-07-10,11:47,51.7,5969,520.0,periodico
L-20260710-P2-08,P2,2026-07-10,12:48,51.8,5806,499.0,periodico
L-20260710-P2-09,P2,2026-07-10,13:47,51.2,5513,476.3,periodico
L-20260710-P2-10,P2,2026-07-10,14:45,50.2,5421,466.8,periodico
L-20260710-P2-11,P2,2026-07-10,15:46,52.4,5629,490.7,periodico
L-20260710-P2-12,P2,2026-07-10,16:47,54.1,5822,515.9,periodico
L-20260710-P2-13,P2,2026-07-10,17:48,40.0,5759,456.6,archivo_blanco
L-20260710-P2-14,P2,2026-07-10,18:39,48.5,5859,465.4,archivo_blanco
L-20260710-P2-15,P2,2026-07-10,19:40,49.7,5384,447.1,recorte_mixto
L-20260710-P2-16,P2,2026-07-10,20:37,50.3,5777,484.1,periodico
L-20260710-P2-17,P2,2026-07-10,21:40,47.5,5633,458.7,recorte_mixto
L-20260710-P2-18,P2,2026-07-10,22:39,49.9,5649,462.5,recorte_mixto
L-20260710-P2-19,P2,2026-07-10,23:40,48.5,5715,494.7,periodico
