lote,pulper,fecha,inicio,duracion_min,kg_cargados,kwh,material
L-20260522-P1-01,P1,2026-05-22,06:00,40.0,5366,398.0,archivo_blanco
L-20260522-P1-02,P1,2026-05-22,06:51,45.1,5738,459.1,periodico
L-20260522-P1-03,P1,2026-05-22,07:48,39.3,5807,437.7,archivo_blanco
L-20260522-P1-04,P1,2026-05-22,08:37,38.3,5897,441.8,archivo_blanco
L-20260522-P1-05,P1,2026-05-22,09:26,44.4,5706,461.1,periodico
L-20260522-P1-06,P1,2026-05-22,10:17,47.6,5506,444.2,periodico
L-20260522-P1-07,P1,2026-05-22,11:14,41.2,5725,463.1,periodico
L-20260522-P1-08,P1,2026-05-22,12:03,45.0,5906,473.1,periodico
L-20260522-P1-09,P1,2026-05-22,12:57,45.6,5838,489.0,periodico
L-20260522-P1-10,P1,2026-05-22,13:53,38.7,5974,431.8,archivo_blanco
L-20260522-P1-11,P1,2026-05-22,14:40,43.9,5813,479.8,periodico
L-20260522-P1-12,P1,2026-05-22,15:32,45.1,5349,432.7,periodico
L-20260522-P1-13,P1,2026-05-22,16:24,39.6,5940,450.2,archivo_blanco
L-20260522-P1-14,P1,2026-05-22,17:09,47.7,5504,445.7,periodico
L-20260522-P1-15,P1,2026-05-22,18:08,45.1,5906,465.0,recorte_mixto
L-20260522-P1-16,P1,2026-05-22,19:02,41.9,5586,421.8,recorte_mixto
L-20260522-P1-17,P1,2026-05-22,19:51,41.5,6049,474.0,recorte_mixto
L-20260522-P1-18,P1,2026-05-22,20:42,42.0,6006,475.2,recorte_mixto
L-20260522-P1-19,P1,2026-05-22,21:30,42.0,6081,448.3,archivo_blanco
L-20260522-P1-20,P1,2026-05-22,22:18,44.6,5947,485.9,periodico
L-20260522-P2-01,P2,2026-05-22,06:00,43.5,5713,461.2,recorte_mixto
L-20260522-P2-02,P2,2026-05-22,06:54,46.2,5712,485.5,periodico
L-20260522-P2-03,P2,2026-05-22,07:49,45.4,5821,473.7,recorte_mixto
L-20260522-P2-04,P2,2026-05-22,08:45,42.2,5839,466.2,recorte_mixto
L-20260522-P2-05,P2,2026-05-22,09:35,44.5,5773,458.9,recorte_mixto
L-20260522-P2-06,P2,2026-05-22,10:25,40.1,5864,440.9,archivo_blanco
L-20260522-P2-07,P2,2026-05-22,11:11,46.6,6057,492.7,recorte_mixto
L-20260522-P2-08,P2,2026-05-22,12:05,45.0,5861,432.5,archivo_blanco
L-20260522-P2-09,P2,2026-05-22,12:59,42.9,6022,489.3,recorte_mixto
L-20260522-P2-10,P2,2026-05-22,13:48,43.9,5877,482.4,recorte_mixto
L-20260522-P2-11,P2,2026-05-22,14:40,42.2,5958,466.5,periodico
L-20260522-P2-12,P2,2026-05-22,15:32,47.3,5935,482.7,periodico
L-20260522-P2-13,P2,2026-05-22,16:31,44.3,6045,485.9,recorte_mixto
L-20260522-P2-14,P2,2026-05-22,17:26,40.3,5780,450.9,recorte_mixto
L-20260522-P2-15,P2,2026-05-22,18:15,44.1,5830,485.0,periodico
L-20260522-P2-16,P2,2026-05-22,19:09,46.6,5729,476.6,periodico
L-20260522-P2-17,P2,2026-05-22,20:03,42.6,5763,427.1,archivo_blanco
L-20260522-P2-18,P2,2026-05-22,20:52,44.6,5750,464.2,recorte_mixto
L-20260522-P2-19,P2,2026-05-22,21:48,45.3,5648,461.2,periodico
L-20260522-P2-20,P2,2026-05-22,22:44,45.2,5991,467.3,recorte_mixto
