lote,pulper,fecha,inicio,duracion_min,kg_cargados,kwh,material
L-20260619-P1-01,P1,2026-06-19,06:00,48.4,5811,482.5,periodico
L-20260619-P1-02,P1,2026-06-19,06:54,44.3,5407,409.4,archivo_blanco
L-20260619-P1-03,P1,2026-06-19,07:48,43.2,6018,460.7,archivo_blanco
L-20260619-P1-04,P1,2026-06-19,08:40,43.2,5707,441.0,archivo_blanco
L-20260619-P1-05,P1,2026-06-19,09:35,43.9,5718,435.4,archivo_blanco
L-20260619-P1-06,P1,2026-06-19,10:29,45.7,5628,438.1,recorte_mixto
L-20260619-P1-07,P1,2026-06-19,11:21,44.5,5939,449.2,archivo_blanco
L-20260619-P1-08,P1,2026-06-19,12:13,46.6,5733,466.0,recorte_mixto
L-20260619-P1-09,P1,2026-06-19,13:08,48.5,5675,475.9,periodico
L-20260619-P1-10,P1,2026-06-19,14:03,47.6,5840,468.9,recorte_mixto
L-20260619-P1-11,P1,2026-06-19,15:01,51.2,5866,498.2,periodico
L-20260619-P1-12,P1,2026-06-19,15:59,44.5,5614,445.4,recorte_mixto
L-20260619-P1-13,P1,2026-06-19,16:49,44.0,5922,477.3,recorte_mixto
L-20260619-P1-14,P1,2026-06-19,17:42,42.4,6032,461.7,archivo_blanco
L-20260619-P1-15,P1,2026-06-19,18:37,47.5,5793,460.9,recorte_mixto
L-20260619-P1-16,P1,2026-06-19,19:36,44.3,5724,458.4,recorte_mixto
L-20260619-P1-17,P1,2026-06-19,20:26,42.1,5643,436.1,archivo_blanco
L-20260619-P1-18,P1,2026-06-19,21:14,44.1,5644,463.0,recorte_mixto
L-20260619-P2-01,P2,2026-06-19,06:00,43.7,5594,435.5,archivo_blanco
L-20260619-P2-02,P2,2026-06-19,06:53,47.7,6004,487.2,periodico
L-20260619-P2-03,P2,2026-06-19,07:52,48.3,5991,495.6,periodico
L-20260619-P2-04,P2,2026-06-19,08:52,42.9,5693,447.8,recorte_mixto
L-20260619-P2-05,P2,2026-06-19,09:46,48.1,5269,441.3,periodico
L-20260619-P2-06,P2,2026-06-19,10:46,49.4,6166,491.8,recorte_mixto
L-20260619-P2-07,P2,2026-06-19,11:46,46.1,6169,499.7,recorte_mixto
L-20260619-P2-08,P2,2026-06-19,12:38,47.4,5684,460.1,recorte_mixto
L-20260619-P2-09,P2,2026-06-19,13:32,45.5,5654,455.3,recorte_mixto
L-20260619-P2-10,P2,2026-06-19,14:27,46.9,5592,455.5,recorte_mixto
L-20260619-P2-11,P2,2026-06-19,15:25,47.6,5747,470.0,periodico
L-20260619-P2-12,P2,2026-06-19,16:24,47.6,5949,498.0,periodico
L-20260619-P2-13,P2,2026-06-19,17:23,48.4,5806,497.8,periodico
L-20260619-P2-14,P2,2026-06-19,18:23,44.5,6182,470.8,archivo_blanco
L-20260619-P2-15,P2,2026-06-19,19:18,48.3,5946,512.4,periodico
L-20260619-P2-16,P2,2026-06-19,20:15,49.4,5531,454.1,periodico
L-20260619-P2-17,P2,2026-06-19,21:12,47.4,5769,468.4,recorte_mixto
