lote,pulper,fecha,inicio,duracion_min,kg_cargados,kwh,material
L-20260617-P1-01,P1,2026-06-17,06:00,46.6,5286,411.7,recorte_mixto
L-20260617-P1-02,P1,2026-06-17,06:58,42.4,5816,452.9,archivo_blanco
L-20260617-P1-03,P1,2026-06-17,07:47,45.1,5821,468.7,archivo_blanco
L-20260617-P1-04,P1,2026-06-17,08:41,44.8,5943,493.2,recorte_mixto
L-20260617-P1-05,P1,2026-06-17,09:37,47.7,5839,476.3,recorte_mixto
L-20260617-P1-06,P1,2026-06-17,10:35,43.1,6065,477.4,recorte_mixto
L-20260617-P1-07,P1,2026-06-17,11:30,46.3,5557,457.7,recorte_mixto
L-20260617-P1-08,P1,2026-06-17,12:27,47.2,5900,514.4,periodico
L-20260617-P1-09,P1,2026-06-17,13:23,39.0,6045,467.5,archivo_blanco
L-20260617-P1-10,P1,2026-06-17,14:12,42.9,5794,437.6,archivo_blanco
L-20260617-P1-11,P1,2026-06-17,15:01,44.1,5826,447.0,archivo_blanco
L-20260617-P1-12,P1,2026-06-17,15:57,47.5,5883,508.0,periodico
L-20260617-P1-13,P1,2026-06-17,16:55,44.4,5930,476.6,recorte_mixto
L-20260617-P1-14,P1,2026-06-17,17:50,45.3,5804,471.9,recorte_mixto
L-20260617-P1-15,P1,2026-06-17,18:47,43.9,5669,462.9,periodico
L-20260617-P1-16,P1,2026-06-17,19:37,49.7,5678,474.0,periodico
L-20260617-P1-17,P1,2026-06-17,20:33,48.4,5876,495.6,periodico
L-20260617-P1-18,P1,2026-06-17,21:29,48.6,5763,480.4,recorte_mixto
L-20260617-P1-19,P1,2026-06-17,22:25,44.2,5698,426.9,archivo_blanco
L-20260617-P1-20,P1,2026-06-17,23:20,48.4,5893,490.9,periodico
L-20260617-P2-01,P2,2026-06-17,06:00,42.9,5981,474.9,recorte_mixto
L-20260617-P2-02,P2,2026-06-17,06:48,44.4,5474,442.3,recorte_mixto
L-20260617-P2-03,P2,2026-06-17,07:42,42.2,5867,456.8,archivo_blanco
L-20260617-P2-04,P2,2026-06-17,08:32,45.5,5845,478.0,recorte_mixto
L-20260617-P2-05,P2,2026-06-17,09:30,46.6,5837,474.3,recorte_mixto
L-20260617-P2-06,P2,2026-06-17,10:23,48.9,5666,476.5,periodico
L-20260617-P2-07,P2,2026-06-17,11:18,46.4,5923,499.8,recorte_mixto
L-20260617-P2-08,P2,2026-06-17,12:11,43.6,6011,497.9,periodico
L-20260617-P2-09,P2,2026-06-17,13:07,46.4,5676,461.4,recorte_mixto
L-20260617-P2-10,P2,2026-06-17,14:03,45.4,6007,483.7,recorte_mixto
L-20260617-P2-11,P2,2026-06-17,14:56,44.7,5966,461.0,archivo_blanco
L-20260617-P2-12,P2,2026-06-17,15:47,46.9,5889,502.1,periodico
L-20260617-P2-13,P2,2026-06-17,16:40,47.1,6207,509.2,recorte_mixto
L-20260617-P2-14,P2,2026-06-17,17:37,46.1,5958,453.6,archivo_blanco
L-20260617-P2-15,P2,2026-06-17,18:33,43.2,5570,457.8,recorte_mixto
L-20260617-P2-16,P2,2026-06-17,19:25,48.4,5737,481.4,periodico
L-20260617-P2-17,P2,2026-06-17,20:23,48.2,5990,523.1,periodico
