lote,pulper,fecha,inicio,duracion_min,kg_cargados,kwh,material
L-20260622-P1-01,P1,2026-06-22,06:00,46.1,5950,476.1,recorte_mixto
L-20260622-P1-02,P1,2026-06-22,06:55,44.8,5838,497.2,periodico
L-20260622-P1-03,P1,2026-06-22,07:48,43.3,5961,450.3,archivo_blanco
L-20260622-P1-04,P1,2026-06-22,08:42,45.2,5693,457.0,recorte_mixto
L-20260622-P1-05,P1,2026-06-22,09:39,45.0,5636,438.4,recorte_mixto
L-20260622-P1-06,P1,2026-06-22,10:30,43.6,5575,441.7,archivo_blanco
L-20260622-P1-07,P1,2026-06-22,11:26,45.2,5961,480.3,recorte_mixto
L-20260622-P1-08,P1,2026-06-22,12:22,46.7,5811,483.5,recorte_mixto
L-20260622-P1-09,P1,2026-06-22,13:17,42.9,5696,449.9,recorte_mixto
L-20260622-P1-10,P1,2026-06-22,14:08,43.0,5903,453.6,archivo_blanco
L-20260622-P1-11,P1,2026-06-22,15:00,44.7,5707,466.0,recorte_mixto
L-20260622-P1-12,P1,2026-06-22,15:52,52.9,5657,485.7,periodico
L-20260622-P1-13,P1,2026-06-22,16:51,51.1,5892,501.3,periodico
L-20260622-P1-14,P1,2026-06-22,17:50,42.5,5766,445.8,archivo_blanco
L-20260622-P1-15,P1,2026-06-22,18:45,46.0,5641,462.8,recorte_mixto
L-20260622-P1-16,P1,2026-06-22,19:39,47.8,5564,469.5,periodico
L-20260622-P1-17,P1,2026-06-22,20:37,43.8,5838,435.2,archivo_blanco
L-20260622-P2-01,P2,2026-06-22,06:00,45.6,5787,481.5,recorte_mixto
L-20260622-P2-02,P2,2026-06-22,06:55,45.1,5941,483.7,archivo_blanco
L-20260622-P2-03,P2,2026-06-22,07:51,50.9,5677,484.7,periodico
L-20260622-P2-04,P2,2026-06-22,08:48,49.6,5764,479.3,recorte_mixto
L-20260622-P2-05,P2,2026-06-22,09:47,48.5,5629,479.6,periodico
L-20260622-P2-06,P2,2026-06-22,10:41,43.2,5639,438.2,archivo_blanco
L-20260622-P2-07,P2,2026-06-22,11:36,48.6,5870,484.9,recorte_mixto
L-20260622-P2-08,P2,2026-06-22,12:36,43.6,5800,457.3,recorte_mixto
L-20260622-P2-09,P2,2026-06-22,13:28,48.6,5894,480.6,recorte_mixto
L-20260622-P2-10,P2,2026-06-22,14:22,45.6,5876,469.9,recorte_mixto
L-20260622-P2-11,P2,2026-06-22,15:20,48.8,5909,474.6,periodico
L-20260622-P2-12,P2,2026-06-22,16:21,47.8,6090,535.4,periodico
L-20260622-P2-13,P2,2026-06-22,17:18,42.8,6310,467.8,archivo_blanco
L-20260622-P2-14,P2,2026-06-22,18:12,49.1,5904,497.0,periodico
L-20260622-P2-15,P2,2026-06-22,19:13,46.9,5875,483.2,recorte_mixto
L-20260622-P2-16,P2,2026-06-22,20:11,44.4,5619,455.1,recorte_mixto
L-20260622-P2-17,P2,2026-06-22,21:04,44.3,6018,503.8,recorte_mixto
L-20260622-P2-18,P2,2026-06-22,21:55,49.4,5744,488.7,periodico
L-20260622-P2-19,P2,2026-06-22,22:55,51.7,5826,502.0,periodico
L-20260622-P2-20,P2,2026-06-22,23:57,48.3,6031,503.3,recorte_mixto
