lote,pulper,fecha,inicio,duracion_min,kg_cargados,kwh,material
L-20260630-P1-01,P1,2026-06-30,06:00,47.0,5931,505.0,periodico
L-20260630-P1-02,P1,2026-06-30,06:57,45.6,5766,460.0,recorte_mixto
L-20260630-P1-03,P1,2026-06-30,07:50,49.3,5828,485.7,recorte_mixto
L-20260630-P1-04,P1,2026-06-30,08:45,44.5,5952,461.0,archivo_blanco
L-20260630-P1-05,P1,2026-06-30,09:42,51.9,6027,516.2,periodico
L-20260630-P1-06,P1,2026-06-30,10:44,45.4,5745,466.5,recorte_mixto
L-20260630-P1-07,P1,2026-06-30,11:35,47.8,5913,498.2,recorte_mixto
L-20260630-P1-08,P1,2026-06-30,12:33,52.5,5791,494.8,periodico
L-20260630-P1-09,P1,2026-06-30,13:38,48.6,5641,454.2,recorte_mixto
L-20260630-P1-10,P1,2026-06-30,14:35,48.0,5716,473.8,recorte_mixto
L-20260630-P1-11,P1,2026-06-30,15:29,51.5,5499,460.7,periodico
L-20260630-P1-12,P1,2026-06-30,16:28,44.9,5972,468.9,archivo_blanco
L-20260630-P1-13,P1,2026-06-30,17:25,49.9,5698,473.2,periodico
L-20260630-P1-14,P1,2026-06-30,18:22,47.5,5647,466.1,recorte_mixto
L-20260630-P1-15,P1,2026-06-30,19:20,46.6,5797,462.0,recorte_mixto
L-20260630-P1-16,P1,2026-06-30,20:15,45.8,5905,461.3,archivo_blanco
L-20260630-P1-17,P1,2026-06-30,21:07,48.7,5702,462.2,recorte_mixto
L-20260630-P1-18,P1,2026-06-30,22:02,47.6,5862,518.2,periodico
L-20260630-P2-01,P2,2026-06-30,06:00,49.9,5880,498.0,periodico
L-20260630-P2-02,P2,2026-06-30,06:55,44.6,5966,482.9,recorte_mixto
L-20260630-P2-03,P2,2026-06-30,07:51,43.9,5774,440.8,archivo_blanco
L-20260630-P2-04,P2,2026-06-30,08:46,47.7,6001,484.6,recorte_mixto
L-20260630-P2-05,P2,2026-06-30,09:46,47.9,5650,500.4,periodico
L-20260630-P2-06,P2,2026-06-30,10:46,48.7,5552,451.4,recorte_mixto
L-20260630-P2-07,P2,2026-06-30,11:42,46.0,5711,519.5,periodico
L-20260630-P2-08,P2,2026-06-30,12:34,46.5,5809,478.3,recorte_mixto
L-20260630-P2-09,P2,2026-06-30,13:31,44.6,5681,434.0,archivo_blanco
L-20260630-P2-10,P2,2026-06-30,14:23,46.5,5908,494.3,recorte_mixto
L-20260630-P2-11,P2,2026-06-30,15:19,48.5,5438,463.9,periodico
L-20260630-P2-12,P2,2026-06-30,16:13,47.3,5384,440.9,recorte_mixto
L-20260630-P2-13,P2,2026-06-30,17:08,46.9,5849,458.1,archivo_blanco
L-20260630-P2-14,P2,2026-06-30,18:01,42.0,5666,433.5,archivo_blanco
L-20260630-P2-15,P2,2026-06-30,18:53,47.2,5767,428.2,archivo_blanco
L-20260630-P2-16,P2,2026-06-30,19:47,46.5,5680,450.5,recorte_mixto
L-20260630-P2-17,P2,2026-06-30,20:43,46.2,5624,434.5,archivo_blanco
L-20260630-P2-18,P2,2026-06-30,21:35,47.2,5921,467.1,recorte_mixto
L-20260630-P2-19,P2,2026-06-30,22:35,52.3,5955,496.3,periodico
