lote,pulper,fecha,inicio,duracion_min,kg_cargados,kwh,material
L-20260612-P1-01,P1,2026-06-12,06:00,43.7,5544,454.5,recorte_mixto
L-20260612-P1-02,P1,2026-06-12,06:50,47.0,5762,475.9,periodico
L-20260612-P1-03,P1,2026-06-12,07:46,45.9,5676,448.4,recorte_mixto
L-20260612-P1-04,P1,2026-06-12,08:38,43.6,5856,477.1,recorte_mixto
L-20260612-P1-05,P1,2026-06-12,09:32,42.8,5642,433.1,archivo_blanco
L-20260612-P1-06,P1,2026-06-12,10:25,49.4,5945,503.6,periodico
L-20260612-P1-07,P1,2026-06-12,11:25,43.3,6123,456.9,archivo_blanco
L-20260612-P1-08,P1,2026-06-12,12:14,48.5,5469,447.3,periodico
L-20260612-P1-09,P1,2026-06-12,13:12,46.8,5488,434.6,recorte_mixto
L-20260612-P1-10,P1,2026-06-12,14:08,43.5,5531,442.5,recorte_mixto
L-20260612-P1-11,P1,2026-06-12,14:59,43.6,5657,423.2,archivo_blanco
L-20260612-P1-12,P1,2026-06-12,15:51,43.7,5849,446.9,archivo_blanco
L-20260612-P1-13,P1,2026-06-12,16:40,48.5,5746,479.3,periodico
L-20260612-P1-14,P1,2026-06-12,17:35,40.1,6036,458.3,archivo_blanco
L-20260612-P1-15,P1,2026-06-12,18:24,43.5,6082,487.4,recorte_mixto
L-20260612-P1-16,P1,2026-06-12,19:16,44.5,5758,470.0,recorte_mixto
L-20260612-P1-17,P1,2026-06-12,20:11,45.2,5863,444.3,archivo_blanco
L-20260612-P1-18,P1,2026-06-12,21:03,44.2,5876,451.7,recorte_mixto
L-20260612-P1-19,P1,2026-06-12,21:54,47.5,5615,455.1,periodico
L-20260612-P2-01,P2,2026-06-12,06:00,47.8,5636,460.2,recorte_mixto
L-20260612-P2-02,P2,2026-06-12,06:55,48.5,5978,502.6,periodico
L-20260612-P2-03,P2,2026-06-12,07:51,42.1,5760,472.8,recorte_mixto
L-20260612-P2-04,P2,2026-06-12,08:39,43.2,5583,434.7,archivo_blanco
L-20260612-P2-05,P2,2026-06-12,09:31,43.6,6027,482.5,recorte_mixto
L-20260612-P2-06,P2,2026-06-12,10:27,49.0,5825,464.0,recorte_mixto
L-20260612-P2-07,P2,2026-06-12,11:23,49.0,5823,506.0,periodico
L-20260612-P2-08,P2,2026-06-12,12:23,52.7,5631,474.8,periodico
L-20260612-P2-09,P2,2026-06-12,13:27,49.0,5916,492.8,periodico
L-20260612-P2-10,P2,2026-06-12,14:27,48.7,5783,488.4,periodico
L-20260612-P2-11,P2,2026-06-12,15:22,41.8,5716,441.1,archivo_blanco
L-20260612-P2-12,P2,2026-06-12,16:14,46.5,5754,418.2,archivo_blanco
L-20260612-P2-13,P2,2026-06-12,17:08,42.7,5849,479.6,recorte_mixto
L-20260612-P2-14,P2,2026-06-12,18:01,40.2,5775,440.4,archivo_blanco
L-20260612-P2-15,P2,2026-06-12,18:50,44.8,5550,488.0,periodico
L-20260612-P2-16,P2,2026-06-12,19:44,44.3,5658,437.5,archivo_blanco
L-20260612-P2-17,P2,2026-06-12,20:39,48.9,5744,494.1,periodico
L-20260612-P2-18,P2,2026-06-12,21:34,47.8,5985,476.8,recorte_mixto
L-20260612-P2-19,P2,2026-06-12,22:31,49.0,5632,477.4,periodico
