lote,pulper,fecha,inicio,duracion_min,kg_cargados,kwh,material
L-20260625-P1-01,P1,2026-06-25,06:00,48.1,5807,484.8,recorte_mixto
L-20260625-P1-02,P1,2026-06-25,06:58,46.5,5601,450.9,recorte_mixto
L-20260625-P1-03,P1,2026-06-25,07:51,47.4,5784,488.0,recorte_mixto
L-20260625-P1-04,P1,2026-06-25,08:51,49.4,5558,492.9,periodico
L-20260625-P1-05,P1,2026-06-25,09:49,45.7,5951,490.8,recorte_mixto
L-20260625-P1-06,P1,2026-06-25,10:42,42.1,5725,426.1,archivo_blanco
L-20260625-P1-07,P1,2026-06-25,11:32,46.2,5812,482.1,recorte_mixto
L-20260625-P1-08,P1,2026-06-25,12:28,51.0,5641,477.1,periodico
L-20260625-P1-09,P1,2026-06-25,13:30,44.6,5754,475.9,recorte_mixto
L-20260625-P1-10,P1,2026-06-25,14:24,46.5,5884,467.3,recorte_mixto
L-20260625-P1-11,P1,2026-06-25,15:16,45.5,5756,448.3,archivo_blanco
L-20260625-P1-12,P1,2026-06-25,16:09,47.5,5692,455.7,recorte_mixto
L-20260625-P1-13,P1,2026-06-25,17:06,45.4,5717,439.9,archivo_blanco
L-20260625-P1-14,P1,2026-06-25,18:01,46.2,5909,495.5,periodico
L-20260625-P1-15,P1,2026-06-25,19:00,46.6,5967,455.2,archivo_blanco
L-20260625-P1-16,P1,2026-06-25,19:54,44.6,5681,435.3,archivo_blanco
L-20260625-P2-01,P2,2026-06-25,06:00,45.3,5922,461.9,archivo_blanco
L-20260625-P2-02,P2,2026-06-25,06:57,44.4,5931,474.6,recorte_mixto
L-20260625-P2-03,P2,2026-06-25,07:48,53.2,6054,502.5,periodico
L-20260625-P2-04,P2,2026-06-25,08:50,46.8,5536,449.2,recorte_mixto
L-20260625-P2-05,P2,2026-06-25,09:44,49.6,6006,524.4,periodico
L-20260625-P2-06,P2,2026-06-25,10:44,44.1,5786,437.3,archivo_blanco
L-20260625-P2-07,P2,2026-06-25,11:40,43.6,5854,459.7,archivo_blanco
L-20260625-P2-08,P2,2026-06-25,12:35,50.5,5903,497.8,periodico
L-20260625-P2-09,P2,2026-06-25,13:37,49.9,5905,503.6,periodico
L-20260625-P2-10,P2,2026-06-25,14:36,48.6,5870,472.9,recorte_mixto
L-20260625-P2-11,P2,2026-06-25,15:37,44.3,6156,482.5,archivo_blanco
L-20260625-P2-12,P2,2026-06-25,16:29,46.8,5844,436.8,archivo_blanco
L-20260625-P2-13,P2,2026-06-25,17:28,44.1,5745,444.0,archivo_blanco
L-20260625-P2-14,P2,2026-06-25,18:22,47.5,5843,442.2,archivo_blanco
L-20260625-P2-15,P2,2026-06-25,19:17,44.5,5609,445.8,archivo_blanco
L-20260625-P2-16,P2,2026-06-25,20:10,43.7,5776,451.0,archivo_blanco
L-20260625-P2-17,P2,2026-06-25,21:02,43.5,5826,458.2,archivo_blanco
L-20260625-P2-18,P2,2026-06-25,21:53,46.2,5764,471.5,recorte_mixto
