lote,pulper,fecha,inicio,duracion_min,kg_cargados,kwh,material
L-20260606-P1-01,P1,2026-06-06,06:00,42.2,6062,481.6,recorte_mixto
L-20260606-P1-02,P1,2026-06-06,06:50,45.1,5942,483.0,periodico
L-20260606-P1-03,P1,2026-06-06,07:44,47.6,5848,494.1,periodico
L-20260606-P1-04,P1,2026-06-06,08:43,46.4,5860,476.8,periodico
L-20260606-P1-05,P1,2026-06-06,09:40,39.4,5590,433.5,archivo_blanco
L-20260606-P1-06,P1,2026-06-06,10:27,45.2,5715,460.2,recorte_mixto
L-20260606-P1-07,P1,2026-06-06,11:20,45.2,5735,472.2,recorte_mixto
L-20260606-P1-08,P1,2026-06-06,12:14,46.3,5905,442.3,archivo_blanco
L-20260606-P1-09,P1,2026-06-06,13:08,45.1,5776,475.7,recorte_mixto
L-20260606-P1-10,P1,2026-06-06,14:04,46.4,6119,500.3,recorte_mixto
L-20260606-P1-11,P1,2026-06-06,14:56,42.2,5824,447.8,archivo_blanco
L-20260606-P1-12,P1,2026-06-06,15:45,41.7,5684,444.5,recorte_mixto
L-20260606-P1-13,P1,2026-06-06,16:34,43.1,5781,473.1,recorte_mixto
L-20260606-P1-14,P1,2026-06-06,17:23,48.1,5219,435.6,periodico
L-20260606-P1-15,P1,2026-06-06,18:23,48.0,5665,470.0,periodico
L-20260606-P1-16,P1,2026-06-06,19:21,44.6,5728,469.7,recorte_mixto
L-20260606-P2-01,P2,2026-06-06,06:00,44.5,5878,483.3,recorte_mixto
L-20260606-P2-02,P2,2026-06-06,06:56,52.9,5813,464.1,periodico
L-20260606-P2-03,P2,2026-06-06,07:56,48.0,5801,480.0,periodico
L-20260606-P2-04,P2,2026-06-06,08:56,46.6,5682,445.8,recorte_mixto
L-20260606-P2-05,P2,2026-06-06,09:52,49.2,5808,502.6,periodico
L-20260606-P2-06,P2,2026-06-06,10:47,46.5,5880,496.0,periodico
L-20260606-P2-07,P2,2026-06-06,11:43,45.3,5787,485.3,periodico
L-20260606-P2-08,P2,2026-06-06,12:36,47.0,5673,446.2,recorte_mixto
L-20260606-P2-09,P2,2026-06-06,13:33,43.5,6003,492.8,recorte_mixto
L-20260606-P2-10,P2,2026-06-06,14:28,41.4,5728,444.8,archivo_blanco
L-20260606-P2-11,P2,2026-06-06,15:21,43.1,5800,468.9,recorte_mixto
L-20260606-P2-12,P2,2026-06-06,16:16,48.7,5601,476.0,periodico
L-20260606-P2-13,P2,2026-06-06,17:13,49.2,5647,485.5,periodico
L-20260606-P2-14,P2,2026-06-06,18:10,43.8,5697,462.1,recorte_mixto
L-20260606-P2-15,P2,2026-06-06,19:02,46.7,5812,489.5,periodico
L-20260606-P2-16,P2,2026-06-06,20:00,45.5,5806,465.9,recorte_mixto
L-20260606-P2-17,P2,2026-06-06,20:53,43.1,6011,492.8,periodico
