lote,pulper,fecha,inicio,duracion_min,kg_cargados,kwh,material
L-20260602-P1-01,P1,2026-06-02,06:00,45.3,5578,463.6,periodico
L-20260602-P1-02,P1,2026-06-02,06:57,45.0,5729,469.3,recorte_mixto
L-20260602-P1-03,P1,2026-06-02,07:49,40.5,6034,470.3,archivo_blanco
L-20260602-P1-04,P1,2026-06-02,08:41,44.0,5721,475.6,periodico
L-20260602-P1-05,P1,2026-06-02,09:35,39.4,5660,424.8,archivo_blanco
L-20260602-P1-06,P1,2026-06-02,10:22,37.7,5579,418.3,archivo_blanco
L-20260602-P1-07,P1,2026-06-02,11:06,39.1,6021,441.7,archivo_blanco
L-20260602-P1-08,P1,2026-06-02,11:57,47.8,5795,465.0,periodico
L-20260602-P1-09,P1,2026-06-02,12:55,41.2,6104,454.5,archivo_blanco
L-20260602-P1-10,P1,2026-06-02,13:45,44.0,5830,457.7,recorte_mixto
L-20260602-P1-11,P1,2026-06-02,14:37,45.1,5798,491.9,periodico
L-20260602-P1-12,P1,2026-06-02,15:30,43.1,5722,431.6,archivo_blanco
L-20260602-P1-13,P1,2026-06-02,16:22,44.0,5543,407.7,archivo_blanco
L-20260602-P1-14,P1,2026-06-02,17:12,45.0,5830,476.3,periodico
L-20260602-P1-15,P1,2026-06-02,18:06,43.1,5621,426.5,archivo_blanco
L-20260602-P1-16,P1,2026-06-02,18:59,40.8,5628,431.6,archivo_blanco
L-20260602-P2-01,P2,2026-06-02,06:00,43.9,5913,480.3,recorte_mixto
L-20260602-P2-02,P2,2026-06-02,06:50,46.5,5838,483.5,periodico
L-20260602-P2-03,P2,2026-06-02,07:47,46.5,5997,472.2,recorte_mixto
L-20260602-P2-04,P2,2026-06-02,08:44,42.3,5886,457.9,archivo_blanco
L-20260602-P2-05,P2,2026-06-02,09:38,43.6,5539,410.9,archivo_blanco
L-20260602-P2-06,P2,2026-06-02,10:31,40.0,5838,439.5,archivo_blanco
L-20260602-P2-07,P2,2026-06-02,11:17,45.3,5779,456.5,recorte_mixto
L-20260602-P2-08,P2,2026-06-02,12:14,43.4,5885,450.9,archivo_blanco
L-20260602-P2-09,P2,2026-06-02,13:08,42.2,5794,438.1,archivo_blanco
L-20260602-P2-10,P2,2026-06-02,13:58,42.1,5446,442.8,recorte_mixto
L-20260602-P2-11,P2,2026-06-02,14:49,43.2,5917,429.1,archivo_blanco
L-20260602-P2-12,P2,2026-06-02,15:44,41.1,5637,455.9,recorte_mixto
L-20260602-P2-13,P2,2026-06-02,16:37,45.8,6014,475.8,recorte_mixto
L-20260602-P2-14,P2,2026-06-02,17:32,45.1,5867,480.9,recorte_mixto
L-20260602-P2-15,P2,2026-06-02,18:30,45.5,5767,425.9,archivo_blanco
L-20260602-P2-16,P2,2026-06-02,19:22,40.8,5955,461.6,archivo_blanco
L-20260602-P2-17,P2,2026-06-02,20:11,45.1,5825,459.0,recorte_mixto
L-20260602-P2-18,P2,2026-06-02,21:07,46.9,5934,503.1,periodico
L-20260602-P2-19,P2,2026-06-02,22:00,45.0,5876,475.8,recorte_mixto
