lote,pulper,fecha,inicio,duracion_min,kg_cargados,kwh,material
L-20260705-P1-01,P1,2026-07-05,06:00,51.3,5808,489.1,periodico
L-20260705-P1-02,P1,2026-07-05,07:00,42.3,5771,457.4,recorte_mixto
L-20260705-P1-03,P1,2026-07-05,07:51,51.3,5705,479.2,periodico
L-20260705-P1-04,P1,2026-07-05,08:52,44.9,6078,486.8,archivo_blanco
L-20260705-P1-05,P1,2026-07-05,09:45,45.5,5959,485.3,recorte_mixto
L-20260705-P1-06,P1,2026-07-05,10:39,49.4,5739,467.2,recorte_mixto
L-20260705-P1-07,P1,2026-07-05,11:38,51.9,5886,501.9,recorte_mixto
L-20260705-P1-08,P1,2026-07-05,12:40,43.7,5773,452.4,archivo_blanco
L-20260705-P1-09,P1,2026-07-05,13:30,50.1,5787,507.5,periodico
L-20260705-P1-10,P1,2026-07-05,14:29,49.3,5819,492.1,periodico
L-20260705-P1-11,P1,2026-07-05,15:29,47.3,5858,493.6,recorte_mixto
L-20260705-P1-12,P1,2026-07-05,16:26,47.3,5670,491.5,periodico
L-20260705-P1-13,P1,2026-07-05,17:19,46.3,5994,510.1,recorte_mixto
L-20260705-P1-14,P1,2026-07-05,18:14,50.2,5834,505.7,periodico
L-20260705-P1-15,P1,2026-07-05,19:14,42.4,5989,478.3,archivo_blanco
L-20260705-P1-16,P1,2026-07-05,20:05,48.2,5739,472.9,periodico
L-20260705-P2-01,P2,2026-07-05,06:00,47.4,5868,488.0,recorte_mixto
L-20260705-P2-02,P2,2026-07-05,06:56,48.3,5669,493.0,periodico
L-20260705-P2-03,P2,2026-07-05,07:56,51.5,5660,463.8,recorte_mixto
L-20260705-P2-04,P2,2026-07-05,08:56,45.0,5624,442.5,recorte_mixto
L-20260705-P2-05,P2,2026-07-05,09:51,47.5,5797,470.4,recorte_mixto
L-20260705-P2-06,P2,2026-07-05,10:50,52.1,5879,516.1,periodico
L-20260705-P2-07,P2,2026-07-05,11:52,44.6,5687,457.9,recorte_mixto
L-20260705-P2-08,P2,2026-07-05,12:43,43.9,5875,461.2,archivo_blanco
L-20260705-P2-09,P2,2026-07-05,13:36,47.9,5809,476.2,recorte_mixto
L-20260705-P2-10,P2,2026-07-05,14:34,51.4,5937,494.0,periodico
L-20260705-P2-11,P2,2026-07-05,15:35,53.9,5781,493.4,periodico
L-20260705-P2-12,P2,2026-07-05,16:41,46.4,5795,464.4,archivo_blanco
L-20260705-P2-13,P2,2026-07-05,17:36,47.5,5810,496.9,recorte_mixto
L-20260705-P2-14,P2,2026-07-05,18:36,52.4,5847,513.6,periodico
L-20260705-P2-15,P2,2026-07-05,19:36,49.0,5674,487.1,periodico
L-20260705-P2-16,P2,2026-07-05,20:33,43.4,5877,475.9,recorte_mixto
L-20260705-P2-17,P2,2026-07-05,21:23,46.2,5910,463.7,archivo_blanco
