lote,pulper,fecha,inicio,duracion_min,kg_cargados,kwh,material
L-20260623-P1-01,P1,2026-06-23,06:00,45.4,6098,492.5,recorte_mixto
L-20260623-P1-02,P1,2026-06-23,06:54,44.5,5674,426.8,archivo_blanco
L-20260623-P1-03,P1,2026-06-23,07:48,46.9,5801,493.4,periodico
L-20260623-P1-04,P1,2026-06-23,08:42,49.5,6194,542.7,periodico
L-20260623-P1-05,P1,2026-06-23,09:42,45.2,5725,433.2,archivo_blanco
L-20260623-P1-06,P1,2026-06-23,10:36,42.3,5836,464.5,recorte_mixto
L-20260623-P1-07,P1,2026-06-23,11:29,45.0,6053,495.1,recorte_mixto
L-20260623-P1-08,P1,2026-06-23,12:20,48.2,5917,482.2,periodico
L-20260623-P1-09,P1,2026-06-23,13:20,50.5,5689,485.1,periodico
L-20260623-P1-10,P1,2026-06-23,14:18,42.9,5677,435.3,archivo_blanco
L-20260623-P1-11,P1,2026-06-23,15:10,48.1,5826,487.4,periodico
L-20260623-P1-12,P1,2026-06-23,16:07,46.3,5553,425.0,archivo_blanco
L-20260623-P1-13,P1,2026-06-23,17:01,43.7,5679,429.4,archivo_blanco
L-20260623-P1-14,P1,2026-06-23,17:57,45.6,5751,440.8,archivo_blanco
L-20260623-P1-15,P1,2026-06-23,18:51,50.6,5531,466.8,periodico
L-20260623-P1-16,P1,2026-06-23,19:51,49.1,5872,492.9,periodico
L-20260623-P1-17,P1,2026-06-23,20:51,46.3,5877,485.2,periodico
L-20260623-P2-01,P2,2026-06-23,06:00,45.0,5887,493.3,periodico
L-20260623-P2-02,P2,2026-06-23,06:51,50.0,5912,492.2,recorte_mixto
L-20260623-P2-03,P2,2026-06-23,07:50,41.2,5838,469.6,archivo_blanco
L-20260623-P2-04,P2,2026-06-23,08:40,45.2,5781,476.0,recorte_mixto
L-20260623-P2-05,P2,2026-06-23,09:36,47.2,5823,472.2,recorte_mixto
L-20260623-P2-06,P2,2026-06-23,10:31,42.2,5952,453.8,archivo_blanco
L-20260623-P2-07,P2,2026-06-23,11:25,46.1,5715,453.1,recorte_mixto
L-20260623-P2-08,P2,2026-06-23,12:21,44.2,6037,505.2,recorte_mixto
L-20260623-P2-09,P2,2026-06-23,13:17,48.9,5695,461.7,recorte_mixto
L-20260623-P2-10,P2,2026-06-23,14:18,49.0,5482,436.8,recorte_mixto
L-20260623-P2-11,P2,2026-06-23,15:17,42.5,5951,466.0,archivo_blanco
L-20260623-P2-12,P2,2026-06-23,16:11,43.0,6090,471.4,archivo_blanco
L-20260623-P2-13,P2,2026-06-23,17:05,47.9,5479,468.0,periodico
L-20260623-P2-14,P2,2026-06-23,18:02,49.4,5803,490.0,periodico
L-20260623-P2-15,P2,2026-06-23,18:58,48.8,5574,472.0,periodico
L-20260623-P2-16,P2,2026-06-23,19:54,51.0,5775,493.8,periodico
L-20260623-P2-17,P2,2026-06-23,20:56,43.9,5502,433.2,archivo_blanco
L-20260623-P2-18,P2,2026-06-23,21:51,45.4,5684,477.6,recorte_mixto
L-20260623-P2-19,P2,2026-06-23,22:48,44.2,5796,480.3,recorte_mixto
L-20260623-P2-20,P2,2026-06-23,23:45,49.4,5795,471.5,recorte_mixto
