lote,pulper,fecha,inicio,duracion_min,kg_cargados,kwh,material
L-20260603-P1-01,P1,2026-06-03,06:00,40.9,5725,435.9,archivo_blanco
L-20260603-P1-02,P1,2026-06-03,06:51,44.6,6142,494.5,recorte_mixto
L-20260603-P1-03,P1,2026-06-03,07:43,41.8,5725,427.0,archivo_blanco
L-20260603-P1-04,P1,2026-06-03,08:36,42.2,5623,449.1,recorte_mixto
L-20260603-P1-05,P1,2026-06-03,09:30,42.7,5550,455.1,periodico
L-20260603-P1-06,P1,2026-06-03,10:25,43.8,5742,453.6,recorte_mixto
L-20260603-P1-07,P1,2026-06-03,11:18,45.6,5669,452.2,recorte_mixto
L-20260603-P1-08,P1,2026-06-03,12:14,44.9,5560,413.9,archivo_blanco
L-20260603-P1-09,P1,2026-06-03,13:05,45.1,6044,482.3,recorte_mixto
L-20260603-P1-10,P1,2026-06-03,13:56,45.7,5711,466.9,periodico
L-20260603-P1-11,P1,2026-06-03,14:50,41.1,6061,471.4,recorte_mixto
L-20260603-P1-12,P1,2026-06-03,15:42,48.3,6069,493.9,periodico
L-20260603-P1-13,P1,2026-06-03,16:36,40.2,5497,402.5,archivo_blanco
L-20260603-P1-14,P1,2026-06-03,17:25,46.6,5851,471.4,periodico
L-20260603-P1-15,P1,2026-06-03,18:22,41.0,5692,424.7,archivo_blanco
L-20260603-P1-16,P1,2026-06-03,19:11,42.5,5739,480.0,periodico
L-20260603-P1-17,P1,2026-06-03,20:06,45.3,5669,449.9,recorte_mixto
L-20260603-P1-18,P1,2026-06-03,21:00,47.2,5712,478.8,periodico
L-20260603-P1-19,P1,2026-06-03,21:53,46.5,5815,452.8,recorte_mixto
L-20260603-P1-20,P1,2026-06-03,22:49,41.7,5701,409.9,archivo_blanco
L-20260603-P2-01,P2,2026-06-03,06:00,45.6,5852,489.1,periodico
L-20260603-P2-02,P2,2026-06-03,06:53,42.2,5574,424.6,archivo_blanco
L-20260603-P2-03,P2,2026-06-03,07:41,47.2,5775,457.7,recorte_mixto
L-20260603-P2-04,P2,2026-06-03,08:35,40.3,5727,430.0,archivo_blanco
L-20260603-P2-05,P2,2026-06-03,09:22,45.3,5779,467.7,recorte_mixto
L-20260603-P2-06,P2,2026-06-03,10:19,41.5,5479,418.7,archivo_blanco
L-20260603-P2-07,P2,2026-06-03,11:10,40.6,6155,462.5,archivo_blanco
L-20260603-P2-08,P2,2026-06-03,12:00,42.0,5893,452.5,archivo_blanco
L-20260603-P2-09,P2,2026-06-03,12:50,50.1,6069,504.6,periodico
L-20260603-P2-10,P2,2026-06-03,13:49,47.0,5879,486.8,periodico
L-20260603-P2-11,P2,2026-06-03,14:46,42.3,5634,434.3,archivo_blanco
L-20260603-P2-12,P2,2026-06-03,15:38,43.9,5513,448.3,recorte_mixto
L-20260603-P2-13,P2,2026-06-03,16:28,41.8,5533,450.2,recorte_mixto
L-20260603-P2-14,P2,2026-06-03,17:16,50.2,5980,502.8,periodico
L-20260603-P2-15,P2,2026-06-03,18:19,47.9,5905,482.8,periodico
L-20260603-P2-16,P2,2026-06-03,19:12,41.3,5856,444.2,archivo_blanco
L-20260603-P2-17,P2,2026-06-03,20:05,46.3,5989,490.8,recorte_mixto
