fecha,punto,rms_mm_s,gE,zona_iso
2026-08-03,Motor pulper 1 · lado libre · axial,2.66,0.73,A
2026-08-03,Motor pulper 2 · lado libre · axial,2.71,0.84,A
2026-08-03,Agitador tina 1 · lado transmision · horizontal,3.42,1.69,B
2026-08-03,Agitador tina 2 · lado transmision · horizontal,2.67,0.63,A
2026-08-03,Agitador tina 3 · lado transmision · horizontal,2.48,0.65,A
2026-08-03,Agitador tina 4 · lado transmision · horizontal,2.47,0.51,A
2026-08-03,Bomba de vacio 1 · lado acople · horizontal,2.53,0.54,A
2026-08-03,Bomba de vacio 2 · lado acople · horizontal,2.51,0.58,A
2026-08-03,Bomba de vacio 3 · lado acople · horizontal,2.94,1.04,B
2026-08-03,Fan pump · lado acople · horizontal,2.81,0.77,B
2026-08-03,Prensa de succion · muñon transmision · horizontal,2.83,0.64,B
2026-08-03,Reductor bobinadora · engrane salida · horizontal,2.23,0.55,A
