fecha,punto,rms_mm_s,gE,zona_iso
2026-07-03,Motor pulper 1 · lado libre · axial,2.44,0.55,A
2026-07-03,Motor pulper 2 · lado libre · axial,2.66,0.82,A
2026-07-03,Agitador tina 1 · lado transmision · horizontal,2.62,0.75,A
2026-07-03,Agitador tina 2 · lado transmision · horizontal,4.29,2.32,B
2026-07-03,Agitador tina 3 · lado transmision · horizontal,2.47,0.83,A
2026-07-03,Agitador tina 4 · lado transmision · horizontal,2.59,0.44,A
2026-07-03,Bomba de vacio 1 · lado acople · horizontal,2.59,0.87,A
2026-07-03,Bomba de vacio 2 · lado acople · horizontal,2.94,0.89,B
2026-07-03,Bomba de vacio 3 · lado acople · horizontal,2.27,0.61,A
2026-07-03,Fan pump · lado acople · horizontal,2.89,0.64,B
2026-07-03,Prensa de succion · muñon transmision · horizontal,3.1,0.83,B
2026-07-03,Reductor bobinadora · engrane salida · horizontal,2.39,0.82,A
